,avgdegree,degreeSD,mindegree,maxdegree,scenario,rewiring,type
212,11.3625,5.755911125770366,1.25,28.5,biased,same,FB
213,11.39375,5.776363558885878,1.25,28.5,biased,same,FB
214,11.43125,5.77910392621198,1.25,28.5,biased,same,FB
215,11.4625,5.77685163376951,1.25,28.5,biased,same,FB
216,11.5,5.764003182532802,1.25,28.375,biased,same,FB
217,11.5375,5.780020950800792,1.25,28.375,biased,same,FB
218,11.575000000000001,5.7727586052632995,1.25,28.25,biased,same,FB
219,11.59375,5.789427429245321,1.25,28.5,biased,same,FB
220,11.63125,5.8044972711332985,1.375,28.625,biased,same,FB
221,11.6625,5.795317794615209,1.375,28.625,biased,same,FB
222,11.69375,5.809647944941083,1.375,28.625,biased,same,FB
223,11.74375,5.804443770415107,1.5,28.75,biased,same,FB
224,11.775,5.8226846531011,1.5,28.75,biased,same,FB
225,11.7875,5.836891546058814,1.5,28.875,biased,same,FB
226,11.831249999999999,5.858900476326536,1.5,29.0,biased,same,FB
227,11.85625,5.863152003441666,1.5,29.125,biased,same,FB
228,11.89375,5.868175384309492,1.5,29.0,biased,same,FB
229,11.924999999999999,5.842503032843484,1.5,28.875,biased,same,FB
230,11.962499999999999,5.8435749797011,1.5,28.75,biased,same,FB
231,11.987499999999999,5.893392091777625,1.5,29.125,biased,same,FB
232,12.01875,5.865887031075068,1.625,28.875,biased,same,FB
233,12.049999999999999,5.871060632212293,1.625,28.875,biased,same,FB
234,12.075000000000001,5.881089907977299,1.625,29.0,biased,same,FB
235,12.106250000000001,5.888532194903501,1.625,29.0,biased,same,FB
236,12.137500000000001,5.901257239362267,1.625,29.125,biased,same,FB
237,12.15625,5.9242704630806875,1.625,29.125,biased,same,FB
238,12.18125,5.928967284429301,1.625,29.125,biased,same,FB
239,12.21875,5.9321749116672144,1.625,29.25,biased,same,FB
240,12.24375,5.927514679769676,1.625,29.25,biased,same,FB
241,12.274999999999999,5.93624307460394,1.625,29.375,biased,same,FB
242,12.306249999999999,5.949789419268681,1.625,29.5,biased,same,FB
243,12.337500000000002,5.9530885326655465,1.625,29.625,biased,same,FB
244,12.375000000000002,5.944481697089489,1.75,29.375,biased,same,FB
245,12.39375,5.946001847978509,1.75,29.375,biased,same,FB
246,12.41875,5.930901181164323,1.75,29.375,biased,same,FB
247,12.456249999999999,5.934285760021185,2.0,29.375,biased,same,FB
248,12.4875,5.9254273723867135,1.875,29.25,biased,same,FB
249,12.50625,5.916591972656686,1.875,29.125,biased,same,FB
250,12.5375,5.9062458903548976,1.875,29.125,biased,same,FB
251,12.562499999999998,5.903401454371619,1.875,29.125,biased,same,FB
252,12.59375,5.92957903273347,1.875,29.375,biased,same,FB
253,12.60625,5.925388017229341,1.875,29.375,biased,same,FB
254,12.618749999999999,5.927924816663221,1.875,29.5,biased,same,FB
255,12.65,5.936413597347686,1.875,29.375,biased,same,FB
256,12.681249999999999,5.948695684200129,1.875,29.375,biased,same,FB
257,12.700000000000001,5.944605674210055,1.875,29.375,biased,same,FB
258,12.737499999999999,5.92467362444343,1.875,29.375,biased,same,FB
259,12.762499999999998,5.935058779560217,1.875,29.375,biased,same,FB
260,12.781249999999998,5.92456556632381,1.875,29.375,biased,same,FB
261,12.812499999999998,5.938476889596539,1.875,29.5,biased,same,FB
262,12.84375,5.945283659456357,1.875,29.5,biased,same,FB
263,12.881250000000003,5.946295609777011,1.875,29.375,biased,same,FB
264,12.906250000000002,5.9406333051361315,1.875,29.25,biased,same,FB
265,12.9375,5.950485133663279,1.875,29.125,biased,same,FB
266,12.95,5.9451558441113175,1.875,29.0,biased,same,FB
267,12.98125,5.933808728984491,1.875,29.0,biased,same,FB
268,13.012500000000001,5.927144781880216,1.875,29.0,biased,same,FB
269,13.03125,5.928573802369776,1.875,29.0,biased,same,FB
270,13.0625,5.923064955687707,1.875,29.0,biased,same,FB
271,13.08125,5.914238122096901,1.875,29.0,biased,same,FB
272,13.10625,5.931485213969159,1.875,29.0,biased,same,FB
273,13.137500000000001,5.900496401914013,1.875,28.875,biased,same,FB
274,13.15625,5.888355613176563,1.875,28.875,biased,same,FB
275,13.1875,5.889252709213378,1.875,28.875,biased,same,FB
276,13.20625,5.890201191031557,1.875,28.875,biased,same,FB
277,13.23125,5.898857897685903,1.875,28.875,biased,same,FB
278,13.243749999999999,5.8720723947867635,1.875,28.75,biased,same,FB
279,13.26875,5.878849571763816,1.875,29.0,biased,same,FB
280,13.29375,5.880917852179376,2.0,29.0,biased,same,FB
281,13.325,5.871552975458437,2.125,29.0,biased,same,FB
282,13.343749999999998,5.862575602987154,2.125,29.0,biased,same,FB
283,13.36875,5.865004816917641,2.125,29.0,biased,same,FB
284,13.4,5.871725797084206,2.125,29.0,biased,same,FB
285,13.425,5.8691336566235535,2.25,29.0,biased,same,FB
286,13.443750000000001,5.8811002773545065,2.25,29.0,biased,same,FB
287,13.475000000000001,5.896595909757676,2.25,29.0,biased,same,FB
288,13.50625,5.9032785850915985,2.25,29.0,biased,same,FB
289,13.5375,5.885802336993739,2.25,28.875,biased,same,FB
290,13.556249999999999,5.907981256855758,2.25,29.0,biased,same,FB
291,13.593749999999998,5.885756265064641,2.25,28.875,biased,same,FB
292,13.625,5.869856980797347,2.25,28.5,biased,same,FB
293,13.656250000000002,5.8838645757986345,2.25,28.5,biased,same,FB
294,13.69375,5.895444002542908,2.25,28.5,biased,same,FB
295,13.718750000000002,5.877928770901907,2.25,28.5,biased,same,FB
296,13.75,5.895420856180121,2.25,28.5,biased,same,FB
297,13.774999999999999,5.876581401697201,2.25,28.375,biased,same,FB
298,13.80625,5.862052419272786,2.375,28.25,biased,same,FB
299,13.83125,5.876654127281995,2.375,28.375,biased,same,FB
300,12.45625,5.695335443119943,6.5,30.5,biased,same,cl
301,12.487499999999999,5.738073621190823,6.5,30.625,biased,same,cl
302,12.5125,5.7531869412804575,6.5,30.75,biased,same,cl
303,12.54375,5.7411534739912415,6.5,30.5,biased,same,cl
304,12.593750000000002,5.74248252987728,6.25,30.25,biased,same,cl
305,12.618750000000002,5.757701269153705,6.25,30.375,biased,same,cl
306,12.65,5.754305700012264,6.375,30.375,biased,same,cl
307,12.6875,5.73668895198366,6.5,30.5,biased,same,cl
308,12.724999999999998,5.729265999062483,6.5,30.5,biased,same,cl
309,12.75625,5.734255502642103,6.5,30.5,biased,same,cl
